fixture_id;id_time;time;formation;coach
1035058;42;Arsenal;4-3-3;Mikel Arteta
1035058;36;Fulham;4-3-3;Marco Silva
1035075;50;Manchester City;4-2-3-1;Pep Guardiola
1035075;36;Fulham;4-3-3;Marco Silva
1035092;52;Crystal Palace;4-2-3-1;R. Hodgson
1035092;36;Fulham;4-3-3;Marco Silva
1035100;36;Fulham;4-3-3;Marco Silva
1035100;49;Chelsea;4-3-3;M. Pochettino
1035112;36;Fulham;4-3-3;Marco Silva
1035112;62;Sheffield Utd;3-5-2;P. Heckingbottom
1035126;47;Tottenham;4-2-3-1;A. Postecoglou
1035126;36;Fulham;4-2-3-1;Marco Silva
1035130;51;Brighton;3-4-2-1;R. De Zerbi
1035130;36;Fulham;4-2-3-1;Marco Silva
1035149;66;Aston Villa;4-2-2-2;Unai Emery
1035149;36;Fulham;4-2-3-1;Marco Silva
1035297;36;Fulham;4-2-3-1;Marco Silva
1035297;39;Wolves;3-5-2;G. O'Neil
1035309;40;Liverpool;4-3-3;J. Klopp
1035309;36;Fulham;4-2-3-1;Marco Silva
1035317;36;Fulham;4-2-3-1;Marco Silva
1035317;65;Nottingham Forest;4-2-3-1;S. Cooper
1035328;36;Fulham;4-2-3-1;Marco Silva
1035328;48;West Ham;4-4-1-1;D. Moyes
1035346;36;Fulham;4-2-3-1;Marco Silva
1035346;44;Burnley;4-4-2;V. Kompany
1035366;36;Fulham;4-2-3-1;Marco Silva
1035366;42;Arsenal;4-3-3;Mikel Arteta
1035379;49;Chelsea;4-2-3-1;M. Pochettino
1035379;36;Fulham;4-2-3-1;Marco Silva
1035385;36;Fulham;4-2-3-1;Marco Silva
1035385;45;Everton;4-4-1-1;S. Dyche
1035417;36;Fulham;4-2-3-1;Marco Silva
1035417;66;Aston Villa;4-4-2;Unai Emery
1035437;36;Fulham;4-2-3-1;Marco Silva
1035437;51;Brighton;3-4-2-1;R. De Zerbi
1035453;39;Wolves;4-2-3-1;G. O'Neil
1035453;36;Fulham;4-2-3-1;Marco Silva
